batter,total_runs,balls_faced,dismissals,batting_strike_rate,projected_fantasy_points
Iram Javed,82,111,7,73.87387387387388,83.64
J Glasgow,42,53,3,79.24528301886792,42.84
J Goswami,62,67,6,92.53731343283582,63.24
J Gray,14,22,3,63.63636363636363,14.280000000000001
J Maguire,1,4,1,25.0,1.02
JE Cameron,5,10,2,50.0,5.1
JI Rodrigues,499,452,24,110.39823008849558,508.98
JKC Claxton,53,75,5,70.66666666666667,54.06
JL Gunn,22,28,3,78.57142857142857,22.44
JL Jonassen,69,92,9,75.0,70.38
JM Dibble,0,1,1,0.0,0.0
JM Kerr,34,36,2,94.44444444444444,34.68
JM Watkin,0,2,2,0.0,0.0
Jahanara Alam,57,81,11,70.37037037037037,58.14
Javeria Khan,315,324,12,97.2222222222222,321.3
Juairiya Ferdous,98,86,5,113.95348837209302,99.96000000000001
K Fraser,105,113,7,92.92035398230088,107.10000000000001
K Kavindi,17,29,2,58.620689655172406,17.34
K McKenna,0,3,1,0.0,0.0
K Reyneke,2,6,2,33.33333333333333,2.04
KADA Kanchana,42,55,7,76.36363636363637,42.84
KDU Prabodhani,57,87,8,65.51724137931035,58.14
KE Bryce,170,163,9,104.29447852760735,173.4
KH Brunt,57,52,7,109.61538461538464,58.14
KH Sciver-Brunt,5,6,2,83.33333333333334,5.1
KJ Garth,92,141,6,65.24822695035462,93.84
KJ Martin,208,171,9,121.6374269005848,212.16
KL Gordon,24,21,1,114.28571428571428,24.48
KM Beams,4,2,0,200.0,14.280000000000001
KT Perkins,78,85,4,91.76470588235294,79.56
KV Jain,8,14,2,57.14285714285714,8.16
Khadija Tul Kubra,7,12,2,58.333333333333336,7.140000000000001
Kycia A Knight,157,179,8,87.70949720670392,160.14000000000001
Kyshona A Knight,14,36,4,38.88888888888889,14.280000000000001
L Delany,135,188,11,71.80851063829788,137.7
L Jack,29,45,4,64.44444444444444,29.580000000000002
L Kumari,2,10,1,20.0,2.04
L Lee,284,274,13,103.64963503649636,289.68
L Little,47,36,3,130.55555555555557,58.14
L Maritz,1,4,1,25.0,1.02
L Paul,47,71,7,66.19718309859155,47.94
L Winfield,11,17,3,64.70588235294117,11.22
L Wolvaardt,697,642,21,108.56697819314644,710.94
LAGL Kirby,39,43,3,90.69767441860463,39.78
LE Kaushalya,206,206,12,100.0,210.12
LK O'Reilly,8,15,3,53.333333333333336,8.16
LM Kasperek,43,32,5,134.375,54.06
LMM Tahuhu,24,32,5,75.0,24.48
LN McCarthy,14,18,2,77.77777777777779,14.280000000000001
LS Greenway,55,78,5,70.51282051282051,56.1
Lata Mondal,55,85,9,64.70588235294117,56.1
M Ayodhya,4,8,0,50.0,4.08
M Daniels,3,9,2,33.33333333333333,3.06
M Kapp,524,472,23,111.01694915254237,534.48
M Klaas,4,8,3,50.0,4.08
M Madara,5,15,1,33.33333333333333,5.1
M McColl,24,27,3,88.88888888888889,24.48
M Raj,393,440,10,89.31818181818181,400.86
M Shehani,10,15,2,66.66666666666666,10.2
M Strano,2,3,0,66.66666666666666,2.04
M du Preez,211,243,10,86.83127572016461,215.22
MAA Sanjeewani,136,184,12,73.91304347826086,138.72
MADD Surangika,129,142,4,90.84507042253522,131.58
MDN Hansika,1,3,2,33.33333333333333,1.02
ME Bouchier,107,94,4,113.82978723404256,109.14
MEMO Scott-Hayward,45,41,4,109.75609756097562,45.9
MIW van den Raad,1,2,1,50.0,1.02
ML Green,278,224,12,124.10714285714286,283.56
ML Schutt,7,9,3,77.77777777777779,7.140000000000001
MM Lanning,722,686,17,105.24781341107872,736.44
MR Aguilleira,58,58,6,100.0,59.160000000000004
MV Waldron,69,85,11,81.17647058823529,70.38
Marina Iqbal,4,6,1,66.66666666666666,4.08
Marufa Akter,3,2,0,150.0,13.26
Muneeba Ali,357,382,20,93.45549738219894,364.14
Murshida Khatun,101,134,9,75.3731343283582,103.02
N Boochatham,54,80,5,67.5,55.08
N Chaiwai,32,51,2,62.74509803921568,32.64
N Chantam,103,127,3,81.10236220472441,105.06
N Koncharoenkai,65,85,3,76.47058823529412,66.3
N Mlaba,9,10,1,90.0,9.18
N de Klerk,166,160,8,103.75,169.32
NJ Browne,46,34,2,135.29411764705884,57.120000000000005
NJ Carey,64,51,2,125.49019607843135,65.28
NM Meepage,1,2,0,50.0,1.02
NND de Silva,358,358,14,100.0,365.16
NR Sciver,395,380,14,103.94736842105264,402.90000000000003
NR Sciver-Brunt,550,412,7,133.49514563106797,571.2
NY McLean,64,59,4,108.47457627118644,65.28
Nahida Akter,39,49,4,79.59183673469387,39.78
Nahida Khan,97,123,9,78.86178861788618,98.94
Nain Abidi,25,49,4,51.02040816326531,25.5
Nashra Sandhu,27,46,6,58.69565217391305,27.54
Natalia Pervaiz,11,18,3,61.11111111111112,11.22
Nida Dar,296,336,20,88.09523809523809,301.92
Nigar Sultana,583,686,20,84.98542274052478,594.66
Nuzhat Tasnia,11,27,2,40.74074074074074,11.22
O Bell,3,8,0,37.5,3.06
O Kamchomphu,30,32,3,93.75,30.6
O Prendergast,290,235,9,123.40425531914892,295.8
OU Ranasinghe,27,80,11,33.75,27.54
P Litchfield,184,141,5,130.49645390070924,197.88
P Molkenboer,75,81,4,92.5925925925926,76.5
P Rawat,3,2,0,150.0,13.26
P Vastrakar,21,18,2,116.66666666666669,21.42
PA Chatterji,39,47,5,82.97872340425532,39.78
PG Raut,95,98,3,96.93877551020408,96.9
PM Weerakkody,61,72,5,84.72222222222221,62.22
PN Sproul,27,23,3,117.3913043478261,27.54
PRCS Kumarihami,34,51,6,66.66666666666666,34.68
Panna Ghosh,13,27,2,48.14814814814815,13.26
Poonam Yadav,9,15,3,60.0,9.18
Q Joseph,138,131,7,105.34351145038168,140.76
Qanita Jalil,34,34,3,100.0,34.68
R Padunglerd,9,7,1,128.57142857142858,9.18
R Rijke,30,38,4,78.94736842105263,30.6
R Slater,16,12,3,133.33333333333331,26.52
R Stokell,40,47,4,85.1063829787234,40.8
RA Lewis,1,4,2,25.0,1.02
RA Mair,6,7,2,85.71428571428571,6.12
RH Priest,242,236,13,102.54237288135592,246.84
RL Grundy,2,3,0,66.66666666666666,2.04
RL Haynes,169,136,5,124.26470588235294,172.38
RM Farrell,2,2,0,100.0,2.04
RM Ghosh,267,229,10,116.5938864628821,272.34000000000003
RMVD Gunaratne,112,178,11,62.92134831460674,114.24000000000001
RP Yadav,21,20,5,105.0,21.42
RS Gayakwad,1,3,0,33.33333333333333,1.02
RS Vandort,2,4,1,50.0,2.04
RS Williams,49,56,2,87.5,49.980000000000004
Rabeya Khan,18,20,2,90.0,18.36
Rameen Shamim,10,20,2,50.0,10.2
Renuka Singh,1,2,1,50.0,1.02
Ritu Moni,88,150,12,58.66666666666666,89.76
Rumana Ahmed,207,229,17,90.39301310043668,211.14000000000001
S Asha,6,10,0,60.0,6.12
S Ecclestone,38,26,3,146.15384615384613,48.96
S Gajnabi,43,38,4,113.1578947368421,43.86
S Glenn,9,8,0,112.5,9.18
S Horley,38,59,4,64.40677966101694,38.76
S Ismail,23,36,7,63.888888888888886,23.46
S Jafta,44,36,4,122.22222222222224,44.88
S Khurana,37,37,3,100.0,37.74
S Laomi,10,11,2,90.9090909090909,10.2
S Lateh,3,5,0,60.0,3.06
S Loubser,1,3,0,33.33333333333333,1.02
S Luus,262,238,14,110.08403361344538,267.24
S Mandhana,729,633,28,115.1658767772512,743.58
S Molineux,30,22,5,136.36363636363637,40.8
S Mostary,302,378,15,79.8941798941799,308.04
S Nisansala,3,7,1,42.85714285714285,3.06
S Pandey,81,100,7,81.0,82.62
S Rana,11,10,1,110.0,11.22
S Rani,64,86,4,74.4186046511628,65.28
S Sajana,4,1,0,400.0,14.280000000000001
S Sandeepani,0,1,1,0.0,0.0
S Sharma,3,4,2,75.0,3.06
S Siegers,11,11,2,100.0,11.22
S Tippoch,3,23,3,13.043478260869565,3.06
S Verma,1,2,1,50.0,1.02
SA Campbelle,495,520,26,95.1923076923077,504.90000000000003
SA Fritz,6,3,0,200.0,16.32
SACA King,114,101,3,112.87128712871286,116.28
SC Selman,6,12,2,50.0,6.12
SF Daley,0,1,1,0.0,0.0
SFM Devine,659,587,27,112.2657580919932,672.1800000000001
SIP Fernando,5,7,1,71.42857142857143,5.1
SIR Dunkley,233,177,9,131.63841807909606,247.86
