match_id,date,optimal_points,optimal_roster
1393312,2023-08-22,830.0,"C Rububagumya, AR Ramjani, Z Bimenyimana, D Wabwire, RB Patel, S Sesazi, B Masaba, E Sebareme, M Akayezu, E Dusingizimana, K Waiswa"
1383088,2023-07-28,828.0,"BJ Currie, MR Adair, BJ McCarthy, BJ McMullen, RD Berrington, MA Leask, B White, C Campher, MH Cross, CN Greaves, PR Stirling"
1254061,2021-04-12,826.0,"SV Samson, KL Rahul, DJ Hooda, Arshdeep Singh, C Sakariya, R Parag, CH Gayle, CH Morris, Mohammed Shami, JC Buttler, S Dube"
1359512,2023-04-28,825.0,"MP Stoinis, Yash Thakur, Atharva Taide, KR Mayers, Naveen-ul-Haq, N Pooran, A Badoni, LS Livingstone, SM Curran, K Rabada, Ravi Bishnoi"
1200425,2019-09-16,823.0,"HG Munsey, PM Seelaar, KJ Coetzer, S Snater, AC Evans, SA Edwards, A Neill, RD Berrington, MRJ Watt, BFW de Leede, MP O'Dowd"
1082625,2017-04-29,823.0,"JP Faulkner, KH Pandya, Basil Thampi, PA Patel, JJ Bumrah, Ishan Kishan, Ankit Soni, IK Pathan, SL Malinga, AJ Tye, KA Pollard"
1439903,2025-02-02,822.0,"Abhishek Sharma, S Dube, BA Carse, PD Salt, Mohammed Shami, J Overton, CV Varun, MA Wood, Tilak Varma, AU Rashid, JC Archer"
1453932,2024-10-23,822.0,"Sikandar Raza, T Marumani, C Madande, B Mavuta, R Ngarava, BJ Bennett, Andre Jarju, RP Burl, W Madhevere, AM Rajpurohit, Abubacarr Kuyateh"
1512773,2026-03-08,821.0,"SV Samson, JJ Bumrah, Abhishek Sharma, JDS Neesham, Ishan Kishan, AR Patel, TL Seifert, MJ Santner, HH Pandya, S Dube, R Ravindra"
1540319,2026-07-02,820.0,"SC de Oliveira, J Martins, Zabiullah Zahid, H Khuttan, DB Lakhani, Samiullah Rahmani, W Boshoff, Zaid Ahmad, C Nunes, Edward Fleming, Natim Hassam"
1426460,2024-04-13,819.0,"Imran Anwar, Waseem Muhammad, A Sharafu, Asif Khan, Aayan Afzal Khan, Muhammad Farooq, Rizwan Butt, Imran Ali Butt, Junaid Aziz, Abdul Majid Abbasi, Akif Raja"
1359536,2023-05-15,819.0,"B Kumar, Shubman Gill, MM Sharma, Mohammed Shami, H Klaasen, B Sai Sudharsan, M Jansen, Fazalhaq Farooqi, T Natarajan, Yash Dayal, M Markande"
1136604,2018-05-12,818.0,"SP Narine, AD Russell, AJ Tye, KL Rahul, KD Karthik, R Ashwin, M Prasidh Krishna, AJ Finch, CA Lynn, JPR Scantlebury-Searles, MM Sharma"
1422138,2024-04-07,817.0,"R Shepherd, G Coetzee, T Stubbs, PP Shaw, RG Sharma, TH David, Ishan Kishan, AR Patel, Abishek Porel, A Nortje, JJ Bumrah"
1423439,2024-03-09,817.0,"Aizaz Khan, Babar Hayat, Aakash Chand, Aarif Sheikh, Ehsan Khan, B Bhandari, Anshuman Rath, M Coetzee, RK Paudel, Rashid Khan, Pratis GC"
1473485,2025-04-29,817.0,"SP Narine, AR Patel, MA Starc, V Nigam, F du Plessis, A Raghuvanshi, CV Varun, AS Roy, AD Russell, RK Singh, Rahmanullah Gurbaz"
1473464,2025-04-12,815.0,"Abhishek Sharma, SS Iyer, HV Patel, TM Head, P Simran Singh, Priyansh Arya, MP Stoinis, E Malinga, N Wadhera, H Klaasen, Arshdeep Singh"
412683,2010-05-02,814.0,"Mohammad Amir, SR Watson, DJ Hussey, Saeed Ajmal, DP Nannes, SW Tait, MG Johnson, Misbah-ul-Haq, Shahid Afridi, Mohammad Hafeez, DA Warner"
1512740,2026-02-14,810.0,"L Tucker, MJ Humphreys, Aamir Kaleem, Shakeel Ahmed, GJ Delany, J Little, GH Dockrell, Hammad Mirza, BJ McCarthy, Shah Faisal, GR Adair"
1375865,2023-10-05,810.0,"HK Matthews, TM McGrath, A Gardner, SS Connell, D Brown, AA Alleyne, P Litchfield, EA Perry, KJ Garth, G Wareham, Z James"
1328470,2022-08-13,810.0,"ED Silva, Umer Imtiaz, Haider Butt, Mohamed Shafeeq, Sarfaraz Ali, S Veerapathiran, R Sandaruwan, Usman Patel, Shahid Mahmood, Adnan Idrees, Shiraz Khan"
