player_name,batting_proj,total_runs,batting_strike_rate,bowling_proj,wickets_taken,economy_rate,projected_fantasy_points,role,credits
CMA Shillington,205.02,201.0,90.9502262443439,0.0,0.0,0.0,205.02,BAT,8.5
CN Nation,36.72,36.0,83.72093023255815,0.0,0.0,0.0,36.72,BAT,8.5
CNIM Joyce,134.64000000000001,132.0,76.74418604651163,0.0,0.0,0.0,134.64000000000001,BAT,8.5
D Brown,16.32,6.0,300.0,185.42784,8.0,4.62420382165605,201.74784,BOWL,8.5
D Devnarain,36.72,36.0,87.8048780487805,0.0,0.0,0.0,36.72,BAT,8.5
D Hazell,23.46,23.0,76.66666666666667,140.85384000000002,6.0,5.969543147208121,164.31384000000003,BOWL,8.5
D Hemalatha,21.42,21.0,116.66666666666669,111.435,5.0,7.548387096774193,132.85500000000002,BOWL,8.5
D Tucker,12.24,12.0,48.0,7.13184,0.0,5.0,19.37184,BAT,8.5
D van Niekerk,286.62,281.0,75.33512064343164,430.58484,19.0,4.856115107913669,717.20484,AR,8.5
DB Sharma,283.56,278.0,102.96296296296296,631.1678400000001,28.0,6.612903225806452,914.72784,AR,8.5
DEM Carter,231.54,227.0,102.25225225225223,44.574000000000005,2.0,7.5,276.114,BAT,8.5
DJS Dottin,639.54,627.0,108.66551126516464,809.46384,36.0,4.952662721893491,1449.0038399999999,AR,8.5
DM Kimmince,5.1,5.0,62.5,252.28884000000002,11.0,4.945945945945946,257.38884,BOWL,8.5
DN Wyatt,760.92,746.0,125.16778523489933,0.0,0.0,9.0,760.92,BAT,8.5
DP Vaidya,0.0,0.0,0.0,29.41884,1.0,6.923076923076923,29.41884,BOWL,8.5
DR Gibson,57.120000000000005,56.0,119.14893617021276,140.85384000000002,6.0,7.116279069767441,197.97384000000002,BOWL,8.5
Diana Baig,3.06,3.0,20.0,185.42784,8.0,5.538461538461538,188.48784,BOWL,8.5
Dilara Akter,61.2,60.0,77.92207792207793,0.0,0.0,0.0,61.2,BAT,8.5
E Bisht,1.02,1.0,50.0,118.56684000000001,5.0,4.125,119.58684000000001,BOWL,8.5
EA Osborne,14.280000000000001,14.0,77.77777777777779,140.85384000000002,6.0,6.0,155.13384000000002,BOWL,8.5
EA Perry,663.0,650.0,116.48745519713262,653.4548400000001,29.0,5.096774193548387,1316.45484,AR,8.5
EAJ Richardson,67.32000000000001,66.0,84.61538461538461,111.435,5.0,8.117647058823529,178.755,BOWL,8.5
EJ Carson,9.18,9.0,37.5,341.43684,15.0,5.630331753554502,350.61684,BOWL,8.5
EJ Tice,41.82,41.0,73.21428571428571,51.70584,2.0,6.556701030927835,93.52584,BOWL,8.5
EJ Villani,348.84000000000003,342.0,117.9310344827586,0.0,0.0,0.0,348.84000000000003,BAT,8.5
ELC Flanagan,5.1,5.0,71.42857142857143,0.0,0.0,0.0,5.1,BAT,8.5
EM Bermingham,18.36,8.0,160.0,140.85384000000002,6.0,4.838709677419355,159.21384,BOWL,8.5
EMKNH Senavirathna,36.72,36.0,128.57142857142858,0.0,0.0,0.0,36.72,BAT,8.5
Eyman Fatima,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BAT,8.5
F Overdijk,24.48,24.0,104.34782608695652,22.287000000000003,1.0,9.833333333333334,46.767,BAT,8.5
F Tunnicliffe,9.18,9.0,50.0,0.0,0.0,0.0,9.18,BAT,8.5
FC Jonas,5.1,5.0,38.46153846153847,118.56684000000001,5.0,5.767441860465116,123.66684000000001,BOWL,8.5
FC Leydon-Davis,0.0,0.0,0.0,96.27984,4.0,4.653061224489797,96.27984,BOWL,8.5
FC Wilson,39.78,39.0,88.63636363636364,0.0,0.0,0.0,39.78,BAT,8.5
FG Kemp,102.0,90.0,155.17241379310346,163.14084,7.0,6.8,265.14084,BOWL,8.5
FL Mackay,78.54,77.0,101.3157894736842,140.85384000000002,6.0,6.5840707964601775,219.39384,BOWL,8.5
FR Davies,0.0,0.0,0.0,29.41884,1.0,6.0,29.41884,BOWL,8.5
Fahima Khatun,99.96000000000001,98.0,80.99173553719008,319.14984,14.0,6.181818181818182,419.10983999999996,BOWL,8.5
Fargana Hoque,175.44,172.0,69.91869918699187,0.0,0.0,0.0,175.44,BAT,8.5
Fariha Trisna,0.0,0.0,0.0,51.70584,2.0,5.555555555555555,51.70584,BOWL,8.5
Fatima Sana,177.48,174.0,100.0,430.58484,19.0,6.168,608.06484,AR,8.5
G Dempsey,0.0,0.0,0.0,0.0,0.0,8.210526315789474,0.0,BAT,8.5
G Fontenla,13.26,3.0,150.0,0.0,0.0,8.863636363636363,13.26,BAT,8.5
G Sultana,3.06,3.0,100.0,29.41884,1.0,5.229357798165137,32.47884,BOWL,8.5
G Voll,142.8,130.0,136.8421052631579,0.0,0.0,0.0,142.8,BAT,8.5
G Wareham,106.08,94.0,140.2985074626866,653.4548400000001,29.0,4.983758700696056,759.5348400000001,BOWL,8.5
GA Elwiss,0.0,0.0,0.0,73.99284,3.0,3.4054054054054053,73.99284,BOWL,8.5
GE Plimmer,190.74,187.0,104.46927374301676,0.0,0.0,0.0,190.74,BAT,8.5
GH Lewis,337.62,331.0,88.73994638069705,0.0,0.0,0.0,337.62,BAT,8.5
GM Harris,79.56,78.0,113.04347826086956,51.70584,2.0,2.333333333333333,131.26584,BAT,8.5
GWHM Perera,131.58,129.0,72.47191011235955,0.0,0.0,0.0,131.58,BAT,8.5
Gull Feroza,104.04,102.0,109.6774193548387,0.0,0.0,0.0,104.04,BAT,8.5
H Karunaratne,19.38,19.0,55.88235294117647,0.0,0.0,0.0,19.38,BAT,8.5
H Kaur,821.1,805.0,116.66666666666669,296.86284,13.0,5.0638297872340425,1117.9628400000001,AR,8.5
H Madavi,277.44,272.0,86.90095846645367,0.0,0.0,0.0,277.44,BAT,8.5
HAM Samuddika,11.22,11.0,110.0,51.70584,2.0,7.0,62.92584,BOWL,8.5
HASD Siriwardene,170.34,167.0,76.95852534562212,497.44584000000003,22.0,5.8119122257053295,667.78584,AR,8.5
HC Knight,653.82,641.0,108.64406779661016,140.85384000000002,6.0,4.918918918918919,794.67384,BAT,8.5
HDJ Siegers,71.4,70.0,116.66666666666669,66.861,3.0,8.258823529411766,138.26100000000002,BAT,8.5
HHC Gunaratne,0.0,0.0,0.0,51.70584,2.0,6.857142857142857,51.70584,BOWL,8.5
HK Matthews,666.0600000000001,653.0,103.15955766192732,698.02884,31.0,5.839080459770115,1364.08884,AR,8.5
HL Ferling,0.0,0.0,0.0,29.41884,1.0,4.758620689655173,29.41884,BOWL,8.5
HM Rowe,13.26,13.0,76.47058823529412,140.85384000000002,6.0,4.857142857142857,154.11384,BOWL,8.5
HMD Rasangika,8.16,8.0,34.78260869565217,0.0,0.0,0.0,8.16,BAT,8.5
HNK Jensen,24.48,24.0,72.72727272727273,363.72384,16.0,6.688995215311004,388.20384,BOWL,8.5
HR Huddleston,0.0,0.0,0.0,51.70584,2.0,5.162790697674418,51.70584,BOWL,8.5
HRA Rainey,0.0,0.0,0.0,22.287000000000003,1.0,7.636363636363637,22.287000000000003,BOWL,8.5
HWA Landheer,0.0,0.0,0.0,51.70584,2.0,6.666666666666667,51.70584,BOWL,8.5
I Dulani,48.96,48.0,75.0,0.0,0.0,0.0,48.96,BAT,8.5
I Ranaweera,12.24,12.0,38.70967741935484,341.43684,15.0,6.018575851393188,353.67684,BOWL,8.5
I van der Woning,0.0,0.0,0.0,0.0,0.0,9.857142857142858,0.0,BAT,8.5
IC Gaze,118.32000000000001,116.0,111.53846153846156,0.0,0.0,0.0,118.32000000000001,BAT,8.5
IG Sharp,105.06,103.0,127.16049382716052,0.0,0.0,0.0,105.06,BAT,8.5
IJR Zwilling,24.48,24.0,100.0,156.009,7.0,8.479338842975206,180.48899999999998,BOWL,8.5
IMHC Joyce,225.42000000000002,221.0,79.49640287769785,230.00184,10.0,5.754545454545455,455.42184,AR,8.5
Iram Javed,83.64,82.0,73.87387387387388,0.0,0.0,0.0,83.64,BAT,8.5
J Glasgow,42.84,42.0,79.24528301886792,0.0,0.0,0.0,42.84,BAT,8.5
J Goswami,63.24,62.0,92.53731343283582,163.14084,7.0,4.791946308724833,226.38084,BOWL,8.5
J Gray,14.280000000000001,14.0,63.63636363636363,0.0,0.0,0.0,14.280000000000001,BAT,8.5
J Maguire,1.02,1.0,25.0,51.70584,2.0,6.761904761904762,52.725840000000005,BOWL,8.5
JE Cameron,5.1,5.0,50.0,0.0,0.0,0.0,5.1,BAT,8.5
JI Rodrigues,508.98,499.0,110.39823008849558,7.13184,0.0,5.0769230769230775,516.11184,BAT,8.5
JKC Claxton,54.06,53.0,70.66666666666667,0.0,0.0,18.0,54.06,BAT,8.5
JL Gunn,22.44,22.0,78.57142857142857,341.43684,15.0,4.828571428571428,363.87684,BOWL,8.5
JL Hunter,0.0,0.0,0.0,7.13184,0.0,7.384615384615385,7.13184,BOWL,8.5
JL Jonassen,70.38,69.0,75.0,475.15884,21.0,5.344913151364764,545.5388399999999,BOWL,8.5
JM Dibble,0.0,0.0,0.0,0.0,0.0,9.230769230769232,0.0,BAT,8.5
JM Kerr,34.68,34.0,94.44444444444444,96.27984,4.0,6.612244897959184,130.95983999999999,BOWL,8.5
JM Watkin,0.0,0.0,0.0,118.56684000000001,5.0,5.130434782608695,118.56684000000001,BOWL,8.5
Jahanara Alam,58.14,57.0,70.37037037037037,319.14984,14.0,6.304477611940298,377.28983999999997,BOWL,8.5
Javeria Khan,321.3,315.0,97.2222222222222,0.0,0.0,0.0,321.3,BAT,8.5
Juairiya Ferdous,99.96000000000001,98.0,113.95348837209302,0.0,0.0,0.0,99.96000000000001,BAT,8.5
K Fraser,107.10000000000001,105.0,92.92035398230088,222.87,10.0,7.827814569536423,329.97,BOWL,8.5
K Goud,0.0,0.0,0.0,7.13184,0.0,7.199999999999999,7.13184,BOWL,8.5
K Kavindi,17.34,17.0,58.620689655172406,7.13184,0.0,6.0,24.47184,BAT,8.5
K McKenna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BAT,8.5
K Ramharack,0.0,0.0,0.0,341.43684,15.0,5.82995951417004,341.43684,BOWL,8.5
K Reyneke,2.04,2.0,33.33333333333333,0.0,0.0,0.0,2.04,BAT,8.5
KADA Kanchana,42.84,42.0,76.36363636363637,29.41884,1.0,6.5,72.25884,BAT,8.5
KDU Prabodhani,58.14,57.0,65.51724137931035,519.73284,23.0,4.767857142857142,577.87284,BOWL,8.5
