Lineup_ID,Players,Total_Credits,Projected_Points
Syndicate_1,"Anuj Rawat, Lalit Yadav, Dev Lakra, Samarth Seth, Aryan Gaur, Digvesh Singh Rathi, Pankaj Jaswal, Sarthak Ranjan, Vaibhav Kandpal, Yash Bhatia, Yash Dabas",94.0,906.8
Syndicate_2,"Anuj Rawat, Lalit Yadav, Dev Lakra, Samarth Seth, Aryan Gaur, Pankaj Jaswal, Ashwini Chillar, Sarthak Ranjan, Vaibhav Kandpal, Yash Bhatia, Mayank Dagar",94.0,898.6
Syndicate_3,"Anuj Rawat, Lalit Yadav, Dev Lakra, Samarth Seth, Aryan Gaur, Pankaj Jaswal, Ashwini Chillar, Rohan Rathi, Sarthak Ranjan, Yash Bhatia, Yash Dabas",93.5,891.0
